Num,Review,Review_type
35001,аааауууууууууу мен жай сұрақ қойғым келеді,bad
35002,"эххх өкінішті, тіпті мен онымен сөйлесе алмадым",bad
35003,"соңғы рет компиляцияға қатысты сұрақ қойғанымда, олар маған бұл офтопиялық екенін айтты және менің сұрағымды жауып тастады",bad
35004,Мен де салқын емеспін,bad
35005,Мен тастап кеткен Скопинский сәбиіміз туралы репортаж көріп отырмын,bad
35006,Мен ескі уақытқа қарағым келмейді,bad
35007,"қарғыс атсын, олар өз веб-сайттарын өз сайттарына тіркемеуі керек еді",bad
35008,"rt piom шұңқыр тәрізді, ол жерде тұрған адамдарға жету мүмкін емес",bad
35009,Бізде mtvstars-ге 3 секунд марсқа дейін өте аз уақыт бар,bad
35010,бірақ кешіріңіз,bad
35011,"Менде де сол оқиға бар, тек менің салмағымды қалай көтеруге тырысып жатқаным туралы және 48 кг. Бұл мақтану емес, өкіну",bad
35012,ант беру үшін солдаттарына бара алмаған қыздар бар,bad
35013,rt piss Мен ислам туралы трек қаламаймын,bad
35014,"Кеше біз қар бүршіктерін лақтырдық, бірақ бүгін баммердің бір түрі, бір сағатқа далаға шығыңыз Наташа тыныс алыңыз, ауа оқуы қашып кетпейді",bad
35015,сізде алекстің қолтаңбасы бар,bad
35016,жақын достардан және одан да жаман туыстардан айырылу қорқынышты,bad
35017,мұхиттың жаңа сызығы қазірдің өзінде менің сүйікті құрамымды сағынатын болады,bad
35018,Мен freerrrrrrrrrrrrrrrrrrrrrrге сенбеймін,bad
35019,Майдандағы Лапис Трубецкой және мен жұмыстамын,bad
35020,қорқынышты бас ауруы бәрі сіздің айналаңыздағы мұрынды суыққа тигізеді,bad
35021,"о, сәттілік, сондықтан мен кішіпейілділікке отырмадым",bad
35022,"rt және біз бәріміз әлемде, шын жүректен аз адамдар бар",bad
35023,"Мен компьютерде болмағаныма 2 күн болды, міне бұған дейін мен бұғатталғанмын, сондықтан көп хабарлама оқымаймын",bad
35024,"бауырым х бокспен достарымен жұлқысады, мен жалықтым",bad
35025,"Мен люменнің акустикасы туралы айттым, бірақ кімнің қайда екендігі орындалмады, менде ештеңе жоқ",bad
35026,мен не болып жатқанын білмеймін,bad
35027,"қарғыс атқыр шіркін, пернетақтаны бүлдірді, олар айтқандай, екі үлкен айырмашылықты тапты",bad
35028,"о, кешіріңіз, мен оның тауық биін көрмедім",bad
35029,тазалаушы анасы пәтерді тазалауға қаншалықты жалқау екенін жуып тастады,bad
35030,арақ цианозынан кейінгі келлуша - мен ойлаған жалғыз нәрсе,bad
35031,сондықтан коменданттық сағаттың 9-ға дейін болғаны әділетті емес,bad
35032,"көрсету және көрсету, содан кейін герак ​​және 3 жастағы бойдақтар вбишкеке қарғыс атсын кейде мен бұған қорқамын",bad
35033,"бәрі дискіде бар, бірақ олар мені үйге жібермеді",bad
35034,RT ұйықтап кету әдеті жалғыз емес,bad
35035,қазір мен қызды жақын арада алуға үміттенбестен тілейтін қарапайым жігітпін,bad
35036,"гипермаркеттің ашылуы 14-ке ауыстырылды, біз метроға бара жатқанбыз.",bad
35037,Мен бұдан былай 9 гимназияның әкімі емеспін,bad
35038,rt piss Мен ислам туралы трек қаламаймын,bad
35039,суық мені басады жалғызбын қайда менің ақымақ күлімсіреу оны жоғалттым,bad
35040,"аптасына бұл сізге қажет емес ойларды тастауға тырысу керек, сонда жақсы болады",bad
35041,"бәрі ұйықтап жатыр, сөйлесетін ешкім жоқ, ал Женямен кетіп қалды",bad
35042,"ааааа, мен де қатты алғым келеді, бірақ мен мұны өмірімде көре алмаймын",bad
35043,"Мен әдемі, әдемі нәрсе немесе фотосурет жасағым келеді, бірақ қолым жете салысымен мен өзімнің түбіме қабілетсіз екенімді түсінемін",bad
35044,бірақ бәрібір олар құшақ туралы не айту керектігін айтпады,bad
35045,"Lenovo s12% нетбукке ubuntu тұрып қалған алтыншы алтынды лақтырып тастады, егер температура 7 градус өте ыстық болса, әсіресе",bad
35046,"иә, және біз шынымен сөйлескен жоқпыз, бәрімізге кездесуді белгілеу керек",bad
35047,"Мен бұл арнаны музыка жағынан жек көретін 1-ші адаммын, жалпы бұл ең жемқор",bad
35048,"Аха blyaja sedna жоқтау күні, бірақ менің ойымша, бұл uprt",bad
35049,9-сыныпқа арналған соңғы сағат бұрынғыдай болмайды,bad
35050,aaaaaa mikooooon Вороот локомотиві рубин форвардолокасының дәл үстінде,bad
35051,сондықтан мен кеше кездейсоқ оларды көргенде 3 шештім,bad
35052,"Мен үйде отырмын, жалықтым",bad
35053,"мысық сенің қасымда болғаның жақсы, сұмдық",bad
35054,"біз дәл қазір ет дайындаймыз, бірақ мен сізсіз тірідей індете алмаймын",bad
35055,fakin shit twi өңді дәлірек етіп өзгертуге жол төсеуге жол бермейді,bad
35056,"Ресей америкадан гөрі салқын келеді, иә сіздер барлық чтоли",bad
35057,"бүгін мен балетке бармадым, өйткені жұлдыруым ауырады, т.с.с.",bad
35058,Менде тонзиллит тонзиллиті желтоқсан айында онсыз да дәстүрге айналды,bad
35059,және мен сені тіпті жақсы көретіндігім үшін ант ете алмаймын,bad
35060,футбол туралы болды,bad
35061,капеттер,bad
35062,"Ия, ұят, менде жегім келетін нәрсенің бәрі бар.",bad
35063,"ужос, ең бастысы сүйектері бүтін, еті өседі, ағысы қолайсыз болады, шымшып алады",bad
35064,Сертжа Полонский маған Камбоджа түрмесінен фотосурет жіберді,bad
35065,RT футураманың жаңа маусымы алғашқы екі серияны көрді,bad
35066,"мен туралы алдымен сіз өзіңізді жұмыс істеуге бересіз, содан кейін жұмыс сізге зиян келтіреді",bad
35067,сіздің концертке бармайтындығыңызды білу ешқашан мұншалықты көңілсіз болған емес,bad
35068,"егер сіз жылдамдықпен жүрсеңіз, мотоцикл сіздің күндеріңіздің соңына дейін жетеді",bad
35069,"Мен демобилизациялау шляпасын таптым, ол белбеу етік, көгеру мен іш әйел шығарды",bad
35070,біздің командада мен үшін тамыр жайғысы келетін және жалпы жобадан толықтай көңіл қалатын ешкім қалмады,bad
35071,"көлденең қар жауады, мен кешкі шоуға кинотеатрларға баруым керек еді",bad
35072,"Мен дүйсенбіде қатты ауырып жатырмын, дәрігерге барамын, бәрі жақсы болады деп үміттенемін",bad
35073,"тозақ мультфильмі кім біледі, кім біледі, кім көргісі келеді, өкінішке орай, тек осы кадр бар",bad
35074,"Мен гамбургер патшасын және бір гамбургерді жей алмадым, олар өте үлкен, немесе мен әлсізмін",bad
35075,"Міне, сіздің бірнеше жерлестеріңіз",bad
35076,Орыстар онша көңілді емес,bad
35077,"рахмет, Евгений, сенемін",bad
35078,rt tatatatataat,bad
35079,"және соңғы бөлімі қалды, мен бұл серияны бір жыл күттім, оның 8 бөлімі ғана бар",bad
35080,тағы да мысық үшін ант етеміз,bad
35081,"жақсы, әрине, мен өмір бойы осындай кекшілдікке бой алдырдым",bad
35082,Мен оның аты-жөнін барлық жерде көремін,bad
35083,"Мен серуендегім келеді, бірақ мен синусит, аурухана немесе үймен ауырамын",bad
35084,"rt сука және мен оны қалдырғаныма өкінемін, егер сіз осы мәртебені көрсеңіз мені кешіріңіз 9",bad
35085,бри салқын,bad
35086,"Менің уақытым жоқ және олар мұны істемейді, өйткені әпкелер заңгерлер көп емес, бірақ ол үшін бәрі бар",bad
35087,"Бұл тіпті ұят нәрсе, бұл жай болжамдар деп үміттенемін",bad
35088,Шерлоктың маңдайшасынан оның o o әріптерін де көресіз,bad
35089,өте кешіріңіз,bad
35090,"rt түскі асқа келді, үйде электр жоқ",bad
35091,"басқалардың қайғы-қасіретін көру қиын, бірақ оларды жұбату үшін менмендіктің шегінен шығу қиынырақ",bad
35092,ух хах бұл өте сұмдық,bad
35093,rt oh oh pikasa менің суреттерімді де бұзып үлгереді,bad
35094,rt Мен отырамын және гүрілдеймін Мен иттің маған ит бергенін қалаймын,bad
35095,"Мәскеу жаңа жылға өте әдемі безендірілген, еуропалық деңгейде ол біздікіне ұқсамайды өте әдемі және мерекелік деп айтуға болады",bad
35096,"уау білмедім, айтпақшы сіз менімен құттықтамадыңыз",bad
35097,"сен сұлу екенсің, бірақ мен вискария сатып алдым",bad
35098,Йобан Челсе Англияның Йобан Чемпионы болды,bad
35099,rt christoph сіз 9 ойлап таппайсыз,bad
35100,"Маған осы жігіттің, жақсырақ бүкіл жігіттің қорабы керек",bad
35101,"жұп адамдар әлеміне қарағанда, кітаптар әлемінде болғаны жақсы",bad
35102,Бұл өте азғырғыш болып көрінді,bad
35103,"біз әнұранға биледік узбагойся Даша бәрін камераға түсіріп алды, ең қызықты сәтте мен оның телефонын сындырып алдым",bad
35104,"Мен тіпті одан өзіме ұнаған кезде тағы бір композиция аламын, бірақ дәмі бірдей емес",bad
35105,"Мен әлі қорқақпын, әлі күнге дейін бұл мені құртатын болады",bad
