Num;Review;review_type
40001;и я наверное самая плохая дочь и подруга и вообще мдаам;bad
40002;хочу кушать денег на проезд голодовка;bad
40003;rt нэг банди буудалд хамгаалагч 1 сар хийгээд ямарч охинд итгэхээ больчлоо гэцэн ярьжийсныг сонсоод;bad
40004;мне вообще нельзя нервничать иначе это плачевно обернется для меня;bad
40005;йошики блять какие нахуй наушники где альбом 9 99;bad
40006;как у меня зуб болит а мама на хор отправляет;bad
40007;rt на белорусской дикий пожар миллион пожарных машин;bad
40008;почему я такая самостоятельная и мама за меня больше ничего не решает;bad
40009;rt нэг банди буудалд хамгаалагч 1 сар хийгээд ямарч охинд итгэхээ больчлоо гэцэн ярьжийсныг сонсоод;bad
40010;вчера по моей внешности предположили что у меня армянские корни где о о;bad
40011;rt сезон завершен для артема ворошило вчера травмировался в четверг операция 3 4 месяца восстановление;bad
40012;походу у моей лучшей подруги нет совести чтоб даже написать мне;bad
40013;rt любов гр э як би ж то як брежнэв ахаха ал на малаца;bad
40014;у мамы завтра др а мы не знаем что дарить;bad
40015;ты меня не узнал чувак это же я барри ноу не помню;bad
40016;малолетние дуры не имеющие мозгов вешаются на шею к каждому смазливому личику жалко таких;bad
40017;хотела сегодня пойти куда нибудь но думаю что никто не захочет типа холодно и на фанеру никто не поедет;bad
40018;rt жуткая слабость как меня достала эта жара;bad
40019;вечно больной вечно на таблетках хддд;bad
40020;суки детей грабят прям у метро уже пидоры;bad
40021;rt белорусы стали символом бесправия и трусости udf by новости беларуси у мяне няма каментаро;bad
40022;киевляне зарабатывают себе свободу на майдане а мы лишь пишем твитты какой нехороший пу эх москвичи москвичи испортил вас квартирн вопрос;bad
40023;сижу в штанах и кофте батарея включена капец а я сижу и мерзну просто папа говорил что меня морозит нееееееееееееееееет;bad
40024;если это правда то я буду плакать;bad
40025;весь день хорошее настроение а сейчас плакать хочется;bad
40026;ааа и опять эта одна минута а точнее доли секунды;bad
40027;sochithebest без is ну ок хорошо хоть с the вечные проблемы;bad
40028;вот я как раз на сушке и на диете давай еще открой ее полностью и сфоткай чтоб я тут пальцы кусала;bad
40029;друуги поменяла телефон контакты потеряны буду благодарна если получу от вас смс с подписью;bad
40030;я досмотрела сериал смысл жизни потерян тяжело быть мной;bad
40031;проиграли восьмому классу в стритбол;bad
