Num,Review,Review_type
0,"иә, ол әлі оған ұқсайды, бірақ менің балам әлі де жақсы d",good
1,рт сен ақымақ мен сен үшін қорқатынмын,good
2,"rt біреу бұрышта отырады және аштықтан қайтыс болады, біз тағы екі бөлікті алдық, дегенмен біз бәрібір тамақтанғымыз келмейді dd",good
3,"бұл қорқынышты оқиға г дегенді білдіреді, бірақ қарғыс, барлық бөліктерге қарап сіз авторлар бір нәрсе шеккендей сезінесіз",good
4,"жақсы, қаласаң да, қаламасаң да, кім екеніңді білмеймін д",good
5,"rt oh 9 d, әрине, сондықтан ол көптеген достарға ие, өйткені ол өте mimimi lt 3",good
6,rt сенің жігітің бар менің құлағым ешкім жемейді d,good
7,менің жаңа оқырманыма қош келдіңіз,good
8,қазір менде сидней сиднейопераусы бар,good
9,"Мен анам мен әкемді жақсы көремін, ал қалғандары мені қатты сүйеді, сондықтан мен оларды байланыстырамын",good
10,"rt, әйтеуір, кеше біздің котенка ауылдан келгенін ұмытып кетіп, таңертең маған жақсы сөйлесуге келгенде қорқып кетті",good
11,иә ойластырылды,good
12,иә сен сен тек сен ғана,good
13,"жоқ, сіз пікірлерді әлі де қысқартасыз, тек бір нұсқасы қатты кесілген, ал екіншісі қоқыссыз ғана аяқталған",good
14,"аспирантурада кездейсоқ ізде, ғылым ешкімді жақсылыққа апармады",good
15,rh ehh және ugatu-да олар басқару туралы ескертеді,good
16,әйтпесе сені сол жерде жүгірді деп ойладым,good
17,"бұл қарғыс атқан нәрсені бекерге қалжыңдап отырсың ба, мен оларға уақытты бұзған орыстармен жұмыс жасау туралы көптеген оқиғаларды қарадым",good
18,"аю үшін өте маңызды алғыс, ол клоун-аниматор болып жұмыс істеді",good
19,бізде бір аптада қалай өлуге болатыны туралы керемет оқиға бар,good
20,"бүгін ішудің себептері өте көп, сондықтан мен енді бір жерде отыра алмаймын",good
21,"мұңды, бәлкім, кенеттен ол бұған дейін сөгілген болатын",good
22,"rt 1 мобелев ауданы әкімшілігінің қолдауымен, Белев ауданы командасы",good
23,менің жаңа оқырманыма қош келдіңіз,good
24,"жату қаншалықты жақсы, бірақ менің кедей кесілген бөксем серуендеуге барғысы келеді",good
25,"ең болмағанда біреу саған қуантады, сен үшін бақытты, әлемде әділеттіліктің бар екеніне шын жүректен қуандым",good
26,неге мен түнді әлі қараңғыланбағандықтан шығармын,good
27,"қарғыс атқым келеді мен әр түрлі қоқыстарды жазғым келеді және жазғым келеді, бірақ бәрібір қалаймын",good
28,бірақ ең болмағанда маған не болғанын айт,good
29,rt сізге,good
30,"Алдымен қарамаймын, сондықтан оны интернеттен жүктеймін, ВК-дағы топты ериді, сол жерде барлық эпизодтар бар деп ойлаймын",good
31,"ертегі демалыс күндері қарсаңында жарық мерекесі түнде серуендеп, жарықты бақылайды",good
32,Мен бүгін сериалдар кітабы мен кофе мінсіз түн алдында барлық түнді күтемін,good
33,бәрінен бұрын тізім d,good
34,rt rt генераторы берік және жеңе алмайды,good
35,"Менде кейінірек суреттер жоқ, содан кейін мен оны тастаймын",good
36,"Мен екінші күн қатарынан Ромамен армандаймын, Ромаакорн есімді жоғалтып алдым",good
37,"rt listen cat мен осылай жақсырақ тұра аламын, ол жақсы болады, бірақ керісінше менде ең жақсы адам бар",good
38,rt кез-келген қарақшыда RT түсіністік пен факт болмаған жағдайда өзінің саяси позицияларына өте қуанышты,good
39,"Оля, сен өте мейірімдісің, ал сен ашуланшақ қаншықсың, саған өкпелеме, бірақ мен сол жаратылысмын, ескерт, сен өзіңіз кеңседегі диалогқа айттыңыз, мен оларды жақсы көремін",good
