Num,Review,Review_type
10001,"есіңізде болсын, балалық шақта біз фууууу деп айтқан едік, сіз ерніңізден бір жерде қалай сүйе аласыз, тұншығу жиіркенішті",good
10002,"біздің түндеріміз керемет болды, мен қуыршақтарымды қатты сағындым",good
10003,ммм мұнарасында жақсы жұмыс істеп жатыр,good
10004,"бізге ер адамдар бізді жақсы көруі үшін сұлулық керек, ал еркектерді сүйетін біз үшін ақымақтық қажет",good
10005,"сыртта қардың қатты жауғаны соншалық, дүкенге жете алмаймын",good
10006,"rt - бұл 5 минут бұрын ояну деген сөз, екі рет қате терезеге хабарлама жіберді",good
10007,Барлығыңызға бақыт тілеймін 3,good
10008,"аааа мен бүгін мектепке бармағанымды ұмытып кетіппін, ал сен қазір мектепте қандайсың",good
10009,Сенбідегі көңіл-күй маған керемет қуанышты жаңалық келді,good
10010,7к Алинкамен жұптасқан сабақ сәл ессіздікті сезінеді d,good
10011,"солтүстік полюсте рэперлер жоқ, өйткені автофолловник көшесінде өсу өте қиын",good
10012,"аоаоаоа қолдарыңызды қолдарыңызға берді, әлі күнге дейін белгісіз, олар ақпан айында келеді, бұл сөзсіз",good
10013,"Барлығыңыз демалыс күндеріңізді жақсы өткізіңіздер, мұңаймаңыз және қарапайым нәрселерден ләззат алыңыз",good
10014,"бірақ мен бір нәрсе алғым келді, жалпы менің қалағаным, бірақ олар менің көңіл-күйімді бұзған кезде барлық тілектер де бұзылды",good
10015,"Мен өз қателіктерімді терезеден шығарып, бәрі жақсы болатынына сенемін",good
10016,"Мен ерлі-зайыптылардың алдында шкафты бір апта бойы жинауға шешім қабылдадым, әлі күнге дейін беспорядок әлі де алыс, сосын оны сөмкеге салып қоясың, сен тоңып қаласың",good
10017,"17 сен чемпионсың, қарғыс атқыр, мен неге жұптарға бардым d",good
10018,бүгін Катямен бірге серуендеуге барайық,good
10019,"сенбіде колледжде ұпай жинады, өйткені қасқырдың күшігі күте алмайды",good
10020,"қысқасы, мен кешке шалбарымды шешемін ok d",good
10021,біз мега қорқынышты күштің қорқынышты күшінің күшіміз,good
10022,rt 7 желтоқсан ұйықтаушылардың күні бүгін менің күнім,good
10023,"ехх ия біз бірге жүретінбіз, жоқ дегенде ондай жалықтырар емес",good
10024,"rt ahah nadya, әдетте, қардағы еблямен әдемі",good
10025,Мен оларды осы жағдайда жиі жазуға тырысамын,good
10026,"Менің ойларым бар, мүмкін бармын",good
10027,Мен жұманы жақсы көремін ахахаха және сондықтан мен қарапайым кішкентайларымды жақсы көрген сайын,good
10028,"оның осындай көгілдір көздері бар, менің қолымнан келмейді",good
10029,"Кеше кешкі сағат онда есімнен шықты, шамамен 2 минут бұрын ояндым, мен ұйықтадым",good
10030,Мен сыныптастарды таңертең мені тебе алатындығы үшін жақсы көремін,good
10031,"қақпағы бар кока-коладан басқа балама, 1 люк жинап, тұрғын үй-коммуналдық шаруашылықтан көбірек алыңыз",good
10032,"rt кайды балық жеуге мәжбүр етті, ал таңертеңгі таңғы ас кейіпкер сияқты сезіледі",good
10033,"көптеген ақылды адамдар болжайды, бірақ жасыл және көк шуақты түстерді көргендер аз",good
10034,"Неліктен олар машиналарды ит режимін ойлап таппады, сондықтан ол өзі қарды шайқады",good
10035,Мен онсыз да ақылды болуым керек еді,good
10036,құрамына назар аударыңыз қытай анналдары қытай ағаш металл қытай,good
10037,үшеуі де уақытында сатып алған сынақ ойындары мен үшіншісін ойнаймын,good
10038,"Мен қазір ұйқымды қандырдым, 22-де ұйықтауға тырысамын",good
10039,Флоридадағы балалар Дисней ертегілерін көрмес бұрын нимфа трейлерін тексеріп көрді,good
10040,"және әрине, әрдайым қолдау болады",good
10041,"бүгін жақсы көңіл-күймен оянды, бұл күн қызықты болады",good
10042,"Сәуірде бұл сөз жылытады, бірақ мен қазір боранның суреттері бейнеленген ақ кітапты оқып жатырмын",good
10043,"ерлер қыс - әйелді өз қалауыңыз бойынша таң қалдырудың жалғыз мүмкіндігі, мүмкіндігіңізді жіберіп алмаңыз",good
10044,"бірақ бірдей мылқау емес, бірақ созылған збс",good
10045,"Маған сегіз жасар қыз туралы айтты, ол бәйбішесінен қандай жыныстық қатынас екенін сұрады, ол интернеттен ол туралы тағы бір нәрсе оқыды",good
10046,"Антоша, менің күнәкар жанымды кешір, ол әлі де өзекті, келесі аптада кездесуге болады",good
10047,"және сол уақытта тыйым салу қажет емес еді, АҚШ-тағы теледидарлар ай қонғаннан кейін таңғы сағат 8-ден бастап жұмыс істей бастады",good
10048,"Мен қазір телефоныма ақша салдым, міндетті түрде физикадан тест жазамын.",good
10049,"rt Мен әлі күнге дейін ұмытып кеткен шығармын, мүмкін мен әдемі біреуді сағындым, және адамдарды оқымаймын, оған қайта қоңырау шалмаймын",good
10050,eneder degguytmeer bx yum alin bolgon tomootoy javahav kk z leed g hehe,good
10051,Біреу көп нәрсені сағынатын болады,good
10052,"ол Moron Klichchko-ны мектепте қандай буында оқыды, егер ол ss формасын кисе, онда ол өзі боялған түстермен боялды",good
10053,"Мен бұл туралы бірнеше рет жазғанмын, бірақ пингвин понгосын ірімшігін қолданып көріңіз, сонда нямка d",good
10054,"Мен Эльшанмен кездестім де, дюбвалак күлімсірей бастадым, кешіріңіз, мен келмедім",good
10055,rt тым көп қателіктер мен жетінші біліктің нашар пайдаланушыларына қызғанышпен қараймын,good
10056,хехе ант бергені үшін жазаланған хакер жазаға назар аудар,good
10057,"Менің суреттеріме не болғанын сұрады досым, ол ВК-дан жүз фунт тастады d",good
10058,kvn үшін өте жақсы ахаха және сіз д,good
10059,"rt Мен Кипелованы көп көремін, бұл жерде мен қатты толқып кеткен шығармын",good
10060,"комментатор төгілді, мен мұны керемет етіп жазамын деп ойлаймын",good
10061,"сот залында rt, жиһаз сынған және судьяның шапандары жыртылған және олар Киевте көңілді",good
10062,"бастауыш сыныптарда ұлдар әдемі қыздарды бастарына сөмкелерімен ұрады, содан кейін барлық әдемі қыздар неге ақымақ болады деп ойлайды",good
10063,Виолетта ашылды,good
10064,rt сіздің ерніңіз менің ерніңізге ұнайтындығын тексеріңіз,good
10065,"rt nyusha, сіз үшін оны бағалаңыз",good
10066,"э-э-е, мен қазір ондай адамдармен кездесемін",good
10067,"Осы қыста менің қолымды кім жылытады, мен білмеймін, бірақ жылыту қондырғылары өндірушілерінің қолын жылытуы мүмкін екенін білемін d",good
10068,"жақсы, бұл аяқталды және бұл өте қорқынышты емес",good
10069,мен сіз не жөнелтесіз деп ойладым,good
10070,"сіздер білесіздер ме, мәселе мен біреуге емес, кездескен және оқиғалардың куәгері болған аталарыма көбірек сенемін",good
10071,"сізде бәрі анық, сізде әлі 3 минут бар",good
10072,демалыс күндері жаттығудың бір түрі пнпдаг махачкала плаг амп ойнау дағыстан,good
10073,"біз бірнеше минут бұрын Skype-та сөйлесуді аяқтадық, сондықтан мен білемін",good
10074,"Мен Калининградқа демалу үшін бір жерге барғым келеді, ол қатты суып кетті",good
10075,менің тәттілерімде жаңа ән бар,good
10076,бірақ менің арқасында олар сізді серуендеуге жіберді,good
10077,"Мен ескі фильмдерді қатты жақсы көремін, көремін",good
10078,үйілген қар сіздерге қос мезгіл қысқы ертегі болсын,good
10079,"сіздер бір-біріңізбен көрмеген және көре алмайтын өте алыстағы уақыттарды көресіз d бірақ жоқ, сіз оны көрдіңіз, ол олай болған жоқ",good
10080,"жаңбыр әлі де аз, менің бетімде де жас бар",good
10081,rt твит сіздің жақсылықтарыңызбен бірге,good
10082,"бір айлық жұбайлар досынан сертификатты араластыруды сұрады, ол сертификатты лайлады, мен бір ай бойы осы сертификатта желшешекпен жаттым",good
10083,"Мен вегетарианшы болғым келеді деп ойладым, енді ол алысқа қарап отырады және күңкілдейді, ал мен оны қалай сақтамаймын",good
10084,біз қазір ол жерге қысқы киімдерге рейд жасау үшін бара жатырмыз,good
10085,rt қабат - менің шкафым,good
10086,"Менің ойымша, менің otp танымал емес деп санадым және оның пиксельінде 44 бетбелгі бар",good
10087,ахахах мырза мен сені де жақсы көремін,good
10088,"Ия, сен менің жақсысымсың, тырысамын, мен сөйлеймін.",good
10089,"бәрібір ол жұмыс орнында ubuntu-ны 1 4-ке жаңартуға қауіп төндірді, егер сіз бірдеңе жасыратыны есіңізде болмаса",good
10090,"екі жүзді қылышты соғу, мұндай сақинасы бар адам тізілімде тым көп жүгірмейді, тоқтатылғанымен",good
10091,"Мен сіздердің қуаныштарыңызды білдіремін, өйткені мен өзім осындай жағдайды бастан кешірдім, мен бұл ғажайыптың қаншалықты қуанышты екеніне қуаныштымын",good
10092,"мен бүгін сенің маған қаншалықты қажет екенімді түсіндім, сенің кереуетің мен үшін өте маңызды",good
10093,бұл өте жақсы болып шықты сурет d,good
10094,"мен тежегішті қандай да бір себептермен өшірген кезде твиттерде сіз оны оқымадыңыз деп ойладым, сондықтан мен оны өшірдім, сирек ішемін және чипсті мүлдем жемеймін",good
10095,бірақ мен онсыз да қалаймын,good
10096,"біздің машинаның әуенін mzhk-де естуге болатын сияқты, ааха, сіз ешкі естисіз",good
10097,енді мен кальянник машинасы тәрізді коуа серуенді оттықты бөлшектей аламын,good
10098,"сіз маған Омбыға келесіз, мен сізге Владикпен келемін",good
10099,"мүлдем дұрыс, суды үнемдеу - бұл әдет, оны бала кезінен тәрбиелеу керек",good
10100,"керемет күн оң күн ақымақ сияқты жүгіру күні бойы мен кереметмын, бірақ мен ракалмын, бірақ маған қатты ұнады",good
10101,"Мен сүйікті адамыма сөмкеге қоян пісіремін, процесс жақсы жүріп жатыр",good
10102,мысықты жегісі келмегені үшін жазалады,good
10103,"жирафта бір бала туған күнімен құттықтады, мен оны алғаш рет көрдім",good
10104,сізге супер ханымды азырақ жеу керек,good
10105,менің тереземнің астындағы қоян кришна қоян-рама кришналар ән шырқайды әдемі,good
10106,"иә, олар аздап қауіп төндіреді, бұл ештеңе емес, мен оларды оларға бермеймін d",good
10107,рт ахаха д,good
10108,rt қышқыл қырыққабат профессоры ол қырыққабат сорпасы мен HCL араластырады,good
10109,роман екеуміз премьераға барғымыз келетінді кешеден бері ойладық,good
10110,макарон түтігі шағын диаметрлі құбыр Өнімдерге байланысты басқа атаулар бар ма деп ойлаймын,good
10111,Жақында Оливье жақында елдің барлық тоңазытқыштарында болады,good
10112,бұны д,good
10113,"ақымақ Катя екеумізді қарға ұрды, мен әлі де қар жедім",good
10114,кеше тунда жарып алып таксиге м нсем ш нде отыр екен дауысы раптег дей емес.,good
10115,өте жақсы студент аға!,good
10116,секс және виски кокс Кариб теңізіндегі шұжықтар ирис шайы d,good
10117,жұмыста олар бүгіннен бастап алма берді,good
10118,адал болу үшін ымырттың супер фильмінің барлық бөліктерін тамашалады,good
10119,Менің бақытты әйел және жақсы ана болу үшін өмірде 2 мақсатым бар,good
10120,"ертең кинотеатрға барайық, менің зая айтқан фильмді таңдау керек",good
